iter 1,iter 2,iter 3,caption
 1.5875 |  2.5583, 2.1758 |  1.2173, 1.8116 |  0.1129,dog
 2.1395 |  3.4449, 3.6107 |  1.8465, 3.7153 | -0.0362,chirping birds
